Refdist,Lon,Lat,Water_depth,Total,Upper_water,Permanent_pycnocline,Labrador_sea_water_level,Overflow_water
1302.89943777813,-6.208,56.675,-15.381060195979,NaN,NaN,NaN,NaN,NaN
1297.89943777813,-6.28518755775411,56.6885243156749,-22.5243973623362,NaN,NaN,NaN,NaN,NaN
1292.89943777813,-6.35984627240515,56.7059330156902,-41.1633980048146,NaN,NaN,NaN,NaN,NaN
1287.89943777813,-6.43379938921198,56.7232145267395,-21.6882899736771,NaN,NaN,NaN,NaN,NaN
1282.89943777813,-6.51190206270632,56.7315946419213,-35.983620630592,NaN,NaN,NaN,NaN,NaN
1277.89943777813,-6.59327276804972,56.733,-43.3286917147893,NaN,NaN,NaN,NaN,NaN
1272.89943777813,-6.67530195581663,56.733,-38.7762595864474,NaN,NaN,NaN,NaN,NaN
1267.89943777813,-6.75733114358354,56.733,-25.6288069209906,NaN,NaN,NaN,NaN,NaN
1262.89943777813,-6.83936033135044,56.733,-78.9653886422808,NaN,NaN,NaN,NaN,NaN
1257.89943777813,-6.92138951911735,56.733,-96.9621984733552,NaN,NaN,NaN,NaN,NaN
1252.89943777813,-7.00341870688426,56.733,-127.589980321091,NaN,NaN,NaN,NaN,NaN
1247.89943777813,-7.08544789465116,56.733,-183.294603843169,NaN,NaN,NaN,NaN,NaN
1242.89943777813,-7.16747708241807,56.733,-190.235179303556,NaN,NaN,NaN,NaN,NaN
1237.89943777813,-7.24950627018498,56.733,-102.976605837331,NaN,NaN,NaN,NaN,NaN
1232.89943777813,-7.33153545795189,56.733,-98.2650114738381,0.00270886627992589,NaN,NaN,NaN,NaN
1227.89943777813,-7.41356464571879,56.733,-145.097654991021,0.00104811310141033,0.00116045191321267,NaN,NaN,NaN
1222.89943777813,-7.4955938334857,56.733,-164.821481373081,NaN,NaN,NaN,NaN,NaN
1217.89943777813,-7.57762302125261,56.733,-52.8104717984553,NaN,NaN,NaN,NaN,NaN
1212.89943777813,-7.65828464007842,56.7386144624683,-25.5732169026043,NaN,NaN,NaN,NaN,NaN
1207.89943777813,-7.73884071799207,56.7446622160655,-33.3304520189541,NaN,NaN,NaN,NaN,NaN
1202.89943777813,-7.81820078327276,56.7557403578488,-37.0920495820681,NaN,NaN,NaN,NaN,NaN
1197.89943777813,-7.89736852494423,56.7676274061478,-48.5019608249751,NaN,NaN,NaN,NaN,NaN
1192.89943777813,-7.97658598308737,56.7794949076478,-86.7598909536867,NaN,NaN,NaN,NaN,NaN
1187.89943777813,-8.05581928414498,56.7913561802612,-103.566044117718,NaN,NaN,NaN,NaN,NaN
1182.89943777813,-8.13476598158229,56.8038134024188,-113.066293803353,-0.000857237538659714,NaN,NaN,NaN,NaN
1177.89943777813,-8.21355878967834,56.8165906145424,-118.627102477198,0.000279388752524383,NaN,NaN,NaN,NaN
1172.89943777813,-8.29076095090814,56.8316803943487,-127.203270701179,-0.000178504221323272,NaN,NaN,NaN,NaN
1167.89943777813,-8.36659444837915,56.8487600108962,-129.859741171384,-0.00130504626685549,NaN,NaN,NaN,NaN
1162.89943777813,-8.44208284072306,56.8664241355593,-127.460580085503,-0.0016420316173847,-0.000707729633026897,NaN,NaN,NaN
1157.89943777813,-8.51690698215271,56.8852133088517,-124.111066869115,-0.000837789392443016,-0.000347522073632522,NaN,NaN,NaN
1152.89943777813,-8.59173112358236,56.904002482144,-122.617093092909,-3.35471675013317e-05,1.26854857618522e-05,NaN,NaN,NaN
1147.89943777813,-8.66688429904791,56.9224399259772,-121,0.000751205564891852,0.000343482367836355,NaN,NaN,NaN
1142.89943777813,-8.74269105587698,56.9401787070752,-120,0.0014972450709183,0.000615858939281953,NaN,NaN,NaN
1137.89943777813,-8.81849781270604,56.9579174881732,-122.269726982986,0.00224328457694475,0.000888235510727552,NaN,NaN,NaN
1132.89943777813,-8.89431497290455,56.9756486112683,-135.273026659945,0.00307025347570833,0.00119477198126531,NaN,NaN,NaN
1127.89943777813,-8.97040292999917,56.9931803986173,-173.783570522701,0.00600379260289034,0.00179855973776642,NaN,NaN,NaN
1122.89943777813,-9.04649088709379,57.0107121859663,-228.345535167112,0.00893733173007235,0.00269082240888186,NaN,NaN,NaN
1117.89943777813,-9.12253139411061,57.0283197304678,-316.129745448914,0.0137210848116709,NaN,NaN,NaN,NaN
1112.89943777813,-9.19836291115698,57.0462609411255,-425.495887962062,0.0139677085588303,0.00239368473708797,NaN,NaN,NaN
1107.89943777813,-9.27413544876553,57.0642838621914,-754.174954613597,0.03866419592841,0.0271694843519381,NaN,NaN,NaN
1102.89943777813,-9.34934530414288,57.0830863260357,-933.603529605289,0.0307194156091286,0.0215626595323298,NaN,NaN,NaN
1097.89943777813,-9.42657860076367,57.0991668278258,-1265.18062696593,0.0423736251967893,0.0344211522139125,NaN,NaN,NaN
1092.89943777813,-9.50443257570478,57.1144123842764,-1639.60803990747,0.0369209823052754,0.0298250452865762,NaN,NaN,NaN
1087.89943777813,-9.58211174227366,57.1299610769706,-1813.58438652219,0.0302750884155669,0.0270514508758602,-0.00171270390673005,-0.0012788218255518,NaN
1082.89943777813,-9.65939356504216,57.1461988059251,-1904.21694812979,0.0240747841743663,0.0231234363336654,-0.00265921254587504,-0.00116901166843332,NaN
1077.89943777813,-9.73667538781066,57.1624365348796,-1956.40110784953,0.0178744799331658,0.0186921815863341,-0.00367713408408453,-0.00105920151131484,NaN
1072.89943777813,-9.81395721057917,57.1786742638342,-1993.02320936738,0.0116741756919653,0.0142290744891788,-0.00466320327247007,-0.000949391354196355,NaN
1067.89943777813,-9.89117939143122,57.1950533070493,-2034.62595188889,0.00812146003647907,0.00909779587589413,-0.00531275782951649,0.00218916026651913,NaN
1062.89943777813,-9.96817737735319,57.2119635528594,-2079.62443374358,0.000248405296253964,0.00145484970932262,-0.00477137184012594,0.00251415604919908,NaN
1057.89943777813,-10.0451753632752,57.2288737986695,-2119.64794395463,-0.00762464944397114,-0.00618809645724889,-0.00413030832715277,0.0027394743082964,NaN
1052.89943777813,-10.1221733491971,57.2457840444796,-2182.96694658848,-0.0154977041841962,-0.0138310426238204,-0.00348924481417961,0.00296479256739373,NaN
1047.89943777813,-10.1991713351191,57.2626942902897,-2203.49317438047,-0.0233707589244213,-0.0214739887903919,-0.00284818130120644,0.00319011082649105,NaN
1042.89943777813,-10.2763600470941,57.2795003992068,-2205.91053451933,-0.0386454872404286,-0.0301762888283577,-0.0050626986495685,-0.000201673231898855,NaN
1037.89943777813,-10.3536041481333,57.2962762655589,-2206.32926828121,-0.0587402738789386,-0.0391862375525728,-0.00810650989507942,-0.0074071138365958,NaN
1032.89943777813,-10.4308482491725,57.313052131911,-2210.28984532107,-0.0788350605174487,-0.0475705483634476,-0.0111503211405903,-0.0146125544412927,NaN
