Refdist,Lon,Lat,Water_depth,Total,Upper_water,Permanent_pycnocline,Labrador_sea_water_level,Overflow_water
1302.89943777813,-6.208,56.675,-15.381060195979,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1297.89943777813,-6.28518755775411,56.6885243156749,-22.5243973623362,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1292.89943777813,-6.35984627240515,56.7059330156902,-41.1633980048146,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1287.89943777813,-6.43379938921198,56.7232145267395,-21.6882899736771,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1282.89943777813,-6.51190206270632,56.7315946419213,-35.983620630592,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1277.89943777813,-6.59327276804972,56.733,-43.3286917147893,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1272.89943777813,-6.67530195581663,56.733,-38.7762595864474,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1267.89943777813,-6.75733114358354,56.733,-25.6288069209906,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1262.89943777813,-6.83936033135044,56.733,-78.9653886422808,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1257.89943777813,-6.92138951911735,56.733,-96.9621984733552,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1252.89943777813,-7.00341870688426,56.733,-127.589980321091,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1247.89943777813,-7.08544789465116,56.733,-183.294603843169,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1242.89943777813,-7.16747708241807,56.733,-190.235179303556,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1237.89943777813,-7.24950627018498,56.733,-102.976605837331,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1232.89943777813,-7.33153545795189,56.733,-98.2650114738381,150.545401121434,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1227.89943777813,-7.41356464571879,56.733,-145.097654991021,149.978399076015,230.857502018819,-24.8642144568208,-33.1039784951105,-10.5216223182345
1222.89943777813,-7.4955938334857,56.733,-164.821481373081,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1217.89943777813,-7.57762302125261,56.733,-52.8104717984553,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1212.89943777813,-7.65828464007842,56.7386144624683,-25.5732169026043,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1207.89943777813,-7.73884071799207,56.7446622160655,-33.3304520189541,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1202.89943777813,-7.81820078327276,56.7557403578488,-37.0920495820681,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1197.89943777813,-7.89736852494423,56.7676274061478,-48.5019608249751,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1192.89943777813,-7.97658598308737,56.7794949076478,-86.7598909536867,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1187.89943777813,-8.05581928414498,56.7913561802612,-103.566044117718,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1182.89943777813,-8.13476598158229,56.8038134024188,-113.066293803353,149.76212212064,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1177.89943777813,-8.21355878967834,56.8165906145424,-118.627102477198,149.95083528277,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1172.89943777813,-8.29076095090814,56.8316803943487,-127.203270701179,149.88965695802,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1167.89943777813,-8.36659444837915,56.8487600108962,-129.859741171384,149.928625735652,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1162.89943777813,-8.44208284072306,56.8664241355593,-127.460580085503,150.209205171016,230.630067914522,-24.8642144568208,-33.1039784951105,-10.5216223182345
1157.89943777813,-8.51690698215271,56.8852133088517,-124.111066869115,150.557452321114,230.770779861161,-24.8642144568208,-33.1039784951105,-10.5216223182345
1152.89943777813,-8.59173112358236,56.904002482144,-122.617093092909,150.736389598079,230.84029122618,-24.8642144568208,-33.1039784951105,-10.5216223182345
1147.89943777813,-8.66688429904791,56.9224399259772,-121,150.743604997185,230.837738673123,-24.8642144568208,-33.1039784951105,-10.5216223182345
1142.89943777813,-8.74269105587698,56.9401787070752,-120,150.580968509667,230.768134278345,-24.8642144568208,-33.1039784951105,-10.5216223182345
1137.89943777813,-8.81849781270604,56.9579174881732,-122.269726982986,150.254931601139,230.642180005543,-24.8642144568208,-33.1039784951105,-10.5216223182345
1132.89943777813,-8.89431497290455,56.9756486112683,-135.273026659945,149.763618352643,230.458854585964,-24.8642144568208,-33.1039784951105,-10.5216223182345
1127.89943777813,-8.97040292999917,56.9931803986173,-173.783570522701,149.087220568203,230.210007010445,-24.8642144568208,-33.1039784951105,-10.5216223182345
1122.89943777813,-9.04649088709379,57.0107121859663,-228.345535167112,147.751406837913,229.833060188765,-24.8642144568208,-33.1039784951105,-10.5216223182345
