Refdist,Lon,Lat,Water_depth,Total,Upper_water,Permanent_pycnocline,Labrador_sea_water_level,Overflow_water
1302.89943777813,-6.208,56.675,-15.381060195979,NaN,NaN,NaN,NaN,NaN
1297.89943777813,-6.28518755775411,56.6885243156749,-22.5243973623362,NaN,NaN,NaN,NaN,NaN
1292.89943777813,-6.35984627240515,56.7059330156902,-41.1633980048146,NaN,NaN,NaN,NaN,NaN
1287.89943777813,-6.43379938921198,56.7232145267395,-21.6882899736771,NaN,NaN,NaN,NaN,NaN
1282.89943777813,-6.51190206270632,56.7315946419213,-35.983620630592,NaN,NaN,NaN,NaN,NaN
1277.89943777813,-6.59327276804972,56.733,-43.3286917147893,NaN,NaN,NaN,NaN,NaN
1272.89943777813,-6.67530195581663,56.733,-38.7762595864474,NaN,NaN,NaN,NaN,NaN
1267.89943777813,-6.75733114358354,56.733,-25.6288069209906,NaN,NaN,NaN,NaN,NaN
1262.89943777813,-6.83936033135044,56.733,-78.9653886422808,NaN,NaN,NaN,NaN,NaN
1257.89943777813,-6.92138951911735,56.733,-96.9621984733552,NaN,NaN,NaN,NaN,NaN
1252.89943777813,-7.00341870688426,56.733,-127.589980321091,NaN,NaN,NaN,NaN,NaN
1247.89943777813,-7.08544789465116,56.733,-183.294603843169,NaN,NaN,NaN,NaN,NaN
1242.89943777813,-7.16747708241807,56.733,-190.235179303556,NaN,NaN,NaN,NaN,NaN
1237.89943777813,-7.24950627018498,56.733,-102.976605837331,NaN,NaN,NaN,NaN,NaN
1232.89943777813,-7.33153545795189,56.733,-98.2650114738381,4.42303578349481,NaN,NaN,NaN,NaN
1227.89943777813,-7.41356464571879,56.733,-145.097654991021,4.91570357789065,4.73237024455732,NaN,NaN,NaN
1222.89943777813,-7.4955938334857,56.733,-164.821481373081,NaN,NaN,NaN,NaN,NaN
1217.89943777813,-7.57762302125261,56.733,-52.8104717984553,NaN,NaN,NaN,NaN,NaN
1212.89943777813,-7.65828464007842,56.7386144624683,-25.5732169026043,NaN,NaN,NaN,NaN,NaN
1207.89943777813,-7.73884071799207,56.7446622160655,-33.3304520189541,NaN,NaN,NaN,NaN,NaN
1202.89943777813,-7.81820078327276,56.7557403578488,-37.0920495820681,NaN,NaN,NaN,NaN,NaN
1197.89943777813,-7.89736852494423,56.7676274061478,-48.5019608249751,NaN,NaN,NaN,NaN,NaN
1192.89943777813,-7.97658598308737,56.7794949076478,-86.7598909536867,NaN,NaN,NaN,NaN,NaN
1187.89943777813,-8.05581928414498,56.7913561802612,-103.566044117718,NaN,NaN,NaN,NaN,NaN
1182.89943777813,-8.13476598158229,56.8038134024188,-113.066293803353,1.90909090909091,NaN,NaN,NaN,NaN
1177.89943777813,-8.21355878967834,56.8165906145424,-118.627102477198,1.90909090909091,NaN,NaN,NaN,NaN
1172.89943777813,-8.29076095090814,56.8316803943487,-127.203270701179,2.89417890251418,NaN,NaN,NaN,NaN
1167.89943777813,-8.36659444837915,56.8487600108962,-129.859741171384,4.86782348133934,NaN,NaN,NaN,NaN
1162.89943777813,-8.44208284072306,56.8664241355593,-127.460580085503,6.648819558477,6.29096121145976,NaN,NaN,NaN
1157.89943777813,-8.51690698215271,56.8852133088517,-124.111066869115,6.95113932182913,6.55700260320964,NaN,NaN,NaN
1152.89943777813,-8.59173112358236,56.904002482144,-122.617093092909,7.25345908518127,6.82304399495952,NaN,NaN,NaN
1147.89943777813,-8.66688429904791,56.9224399259772,-121,7.56531330493636,7.12184463542999,NaN,NaN,NaN
1142.89943777813,-8.74269105587698,56.9401787070752,-120,7.896106425645,7.4857170682095,NaN,NaN,NaN
1137.89943777813,-8.81849781270604,56.9579174881732,-122.269726982986,8.22689954635364,7.849589500989,NaN,NaN,NaN
1132.89943777813,-8.89431497290455,56.9756486112683,-135.273026659945,8.61385355193304,8.27523890712634,NaN,NaN,NaN
1127.89943777813,-8.97040292999917,56.9931803986173,-173.783570522701,10.4626602178265,10.1816478340785,NaN,NaN,NaN
1122.89943777813,-9.04649088709379,57.0107121859663,-228.345535167112,12.31146688372,12.2854623159573,NaN,NaN,NaN
1117.89943777813,-9.12253139411061,57.0283197304678,-316.129745448914,12.6610362018884,NaN,NaN,NaN,NaN
1112.89943777813,-9.19836291115698,57.0462609411255,-425.495887962062,13.3234809030942,13.5565281000417,NaN,NaN,NaN
1107.89943777813,-9.27413544876553,57.0642838621914,-754.174954613597,13.2310662897607,13.0773439104943,NaN,NaN,NaN
1102.89943777813,-9.34934530414288,57.0830863260357,-933.603529605289,13.4965128381514,13.4533931873811,NaN,NaN,NaN
1097.89943777813,-9.42657860076367,57.0991668278258,-1265.18062696593,11.2972803432673,10.9489473286999,NaN,NaN,NaN
1092.89943777813,-9.50443257570478,57.1144123842764,-1639.60803990747,13.3828196672468,13.3396932954821,NaN,NaN,NaN
1087.89943777813,-9.58211174227366,57.1299610769706,-1813.58438652219,14.4821046928684,15,14.7142857142857,11.8419224998576,NaN
1082.89943777813,-9.65939356504216,57.1461988059251,-1904.21694812979,14.5356228025136,15,14.7142857142857,12.2871853017948,NaN
1077.89943777813,-9.73667538781066,57.1624365348796,-1956.40110784953,14.5891409121587,15,14.7222222222222,12.7324481037321,NaN
1072.89943777813,-9.81395721057917,57.1786742638342,-1993.02320936738,14.6426590218038,15,14.7222222222222,13.1777109056694,NaN
1067.89943777813,-9.89117939143122,57.1950533070493,-2034.62595188889,14.2401146129983,15,14.7353826187012,13.0658875039613,NaN
