Refdist,Depth,PTMP,PSAL,Sigma0,Vrel,Vladcp,Vabs
1232.89943777813,15,1.90315894312902,0.247428697203662,0.388777331978907,0.0730671271841955,0.102719712493379,0.0733971262413907
1232.89943777813,25,1.91959804161144,0.2517675088044,0.395594077760831,0.0646153320108539,0.111532691142352,0.0752732949865598
1232.89943777813,35,1.8968332523104,0.223489246869084,0.37414575806892,0.0586720545577773,0.108444180772971,0.0806805923727586
1232.89943777813,45,1.77477727691452,0.188464187338522,0.334842719097785,0.0516583554184982,0.0901551342141791,0.0857963962491774
1232.89943777813,55,1.62610269186882,0.200909961105451,0.318835300288428,0.0460625518590811,0.0725073098863048,0.0882865060717452
1232.89943777813,65,1.58394923578102,0.158633800740459,0.298986187370509,0.0403192491738607,0.0824039001945612,0.0892103380157789
1232.89943777813,75,1.53741599832163,0.12770966386132,0.280705612970131,0.0346978697761247,0.0842669864546526,0.0897992385809089
1232.89943777813,85,1.48015206326654,0.110117471394593,0.264878948171571,0.0301549591977756,0.0908291841616193,0.0906516656444842
1232.89943777813,95,1.42815226763841,0.0936718155053939,0.255513389649826,0.0262380562324437,0.0970615032380869,0.0917999440152505
1232.89943777813,105,1.32903331327729,0.0837384351758502,0.23999769469546,0.0221007604415548,0.0802168831547666,0.0932162844474903
1232.89943777813,115,1.22817126142888,0.0741217888441491,0.219874806987073,0.0179383741821557,0.0762020604634545,0.0946498238553109
1232.89943777813,125,1.10594059601156,0.0685535945299578,0.193868035166426,0.0128752767880174,0.067590502161372,0.0961089611822645
1232.89943777813,135,1.03883996887468,0.0633792623594118,0.179543440763879,0.00700470760811241,0.0665671007292832,0.0977470436073853
1227.89943777813,15,1.96600938369782,0.238847841395117,0.376068206817727,0.0958375632093276,0.0974909590351645,0.068150463912448
1227.89943777813,25,1.93721111025645,0.233442381546268,0.374246137827564,0.0840936894789446,0.107532815057016,0.0714351043356019
1227.89943777813,35,1.95485622742164,0.20347860694583,0.357432320797737,0.0771727265164914,0.117057366216221,0.0763192193064101
1227.89943777813,45,1.84992711046191,0.18158707045381,0.33489191626745,0.0690124908111211,0.0979497381852995,0.0786149477844921
1227.89943777813,55,1.58587047089177,0.198669617142913,0.303679171936709,0.0615848458992413,0.0754758436777225,0.0790221403052084
1227.89943777813,65,1.51886013051334,0.154619776158317,0.269615182561399,0.0513985537162268,0.0692868101057758,0.0791413183337358
1227.89943777813,75,1.44298409526189,0.127154954076678,0.2462279682034,0.0412811447729213,0.068667657816356,0.0791317320576606
1227.89943777813,85,1.34972162349631,0.108801801678893,0.228342604832792,0.0335934051313317,0.0767024739340778,0.0794167172874052
1227.89943777813,95,1.29106186567527,0.0958696332626115,0.220771387294494,0.0273213228618783,0.0813905312291891,0.0798549766079414
1227.89943777813,105,1.18430167952908,0.0840717771621777,0.205794685324041,0.0220600214823246,0.0593219860494836,0.0806219123806299
1227.89943777813,115,1.08870290073138,0.0689500918426061,0.188806189459428,0.017596083705406,0.0507261498148818,0.0820921341815429
1227.89943777813,125,0.956111899392649,0.0620975216100901,0.160474966289675,0.012765618399577,0.0398749317264008,0.0843651460432438
1227.89943777813,135,0.890203565640805,0.0578527641361332,0.146310564960678,0.00763052663904599,0.0433637913457755,0.0869634345372703
1182.89943777813,15,1.99611797504599,0.251679735161803,0.425152330810225,0.0618396149334785,0,0
1182.89943777813,25,1.90055086609554,0.220890548722679,0.364995851381774,0.0553340299969953,0.0542893497923721,0.0620266501978726
1182.89943777813,35,1.87298892078745,0.189697242439509,0.326337535651441,0.04952833326731,0.0567776692600519,0.0622264997640382
1182.89943777813,45,1.79779673190231,0.159509089956724,0.294412723487728,0.0432848650894988,0.0533734509984832,0.0626032852169627
1182.89943777813,55,1.62321364054958,0.139112045881661,0.247362623367403,0.0372768471490904,0.0557519306720329,0.0611727920682772
1182.89943777813,65,1.40426658872711,0.11306560931867,0.224460993491297,0.0315975862080509,0.0552355542945123,0.0557548392551186
1182.89943777813,75,1.32458232769477,0.0911382444537156,0.209815297259578,0.0254471042886948,0.0565152700391244,0.0466945837448094
1182.89943777813,85,1.28502510187728,0.0807998577859832,0.20001936953719,0.0188190482491639,0,0.0359670642068549
1182.89943777813,95,1.20181510430884,0.0760249936355452,0.187760164210843,0.0122421858153371,0,0.0256114072852643
1182.89943777813,105,1.17311780910198,0.0784851284749469,0.182102682354241,0.00659872797121426,0,0.0164232033323588
1177.89943777813,15,2.01180982234023,0.246730504963737,0.438586331465746,0.0584269091158002,0,0
1177.89943777813,25,1.922537426552,0.194960873477051,0.370372908094041,0.0535895308838077,0.0288125528055832,0.0762449610323873
1177.89943777813,35,1.87143602966879,0.159322848688158,0.32306520929845,0.0467579942138738,0.0337885605540858,0.0764047916523909
1177.89943777813,45,1.78193746047281,0.131501626275095,0.29008155748425,0.0395154128509412,0.0418953178514032,0.0765892634131527
1177.89943777813,55,1.59629831606078,0.115146631629368,0.243929920778803,0.0331410118217707,0.0656853452753703,0.0751798319947081
1177.89943777813,65,1.33726405175406,0.091708171960596,0.219561627794668,0.0276455039243318,0.0942150574773598,0.0697601490452018
1177.89943777813,75,1.23376286589015,0.0773102620426634,0.20639912847881,0.0219264793006733,0.108002163229766,0.0608902208371135
1177.89943777813,85,1.1985578063679,0.0724317521426341,0.196772312953412,0.0158833999605082,0,0.0502308106382823
1177.89943777813,95,1.11798723254893,0.0727379413936746,0.184055693070743,0.0100048320312481,0,0.0399710168715589
1177.89943777813,105,1.10005635574478,0.0748853391158436,0.17907566837014,0.00512251423995594,0,0.0308784114179921
1172.89943777813,15,2.01975846160569,0.243755206381599,0.439001471003958,0.0489524311217207,0.0151617020465328,0.0168078971194056
1172.89943777813,25,1.94288310839732,0.179682252455736,0.370819871290157,0.0454570322622836,0.0311632921881409,0.0865712819847108
1172.89943777813,35,1.87876736154643,0.141230872075738,0.322330874966664,0.0400015719543174,0.0375835087565608,0.086574696858478
1172.89943777813,45,1.72870217463647,0.114373593270355,0.280187588481407,0.0337363994220806,0.0475014899984015,0.0858932174921261
