Refdist,Depth,PTMP,PSAL,Sigma0,Vrel,Vladcp,Vabs
1232.89943777813,15,11.1545858839852,34.7999960721737,26.575688164198,-0.0205135500356107,0.0077835483397189,0.00358379178142586
1232.89943777813,25,11.0388104372759,34.886513410468,26.6636693762675,-0.0198961934981355,0.00769446301792177,0.00672668637540422
1232.89943777813,35,10.8786708595031,34.9554309258344,26.7463149093807,-0.0185949216589402,0.0171906736551229,0.00929835132023237
1232.89943777813,45,10.5914367992809,35.0375774449938,26.8635783973094,-0.0164293910840815,0.00997071167605496,0.0104860802922104
1232.89943777813,55,10.2637847987351,35.0804358873845,26.9571430260694,-0.0155627068843994,0.0148282145185726,0.0120349334454616
1232.89943777813,65,10.1891222553424,35.1393362027073,27.0167512919517,-0.0123344769186322,0.0231336073248827,0.0142979296167874
1232.89943777813,75,10.1451910062352,35.1816279043387,27.0580233744893,-0.00969553159851636,0.022501001360507,0.0169351710106481
1232.89943777813,85,10.0775228000606,35.2128224767697,27.094827954736,-0.00775372678080735,0.0235284936098109,0.0192682691945986
1232.89943777813,95,10.0343154368254,35.2353552303401,27.1205973947446,-0.00615946949285367,0.0273879239430863,0.0214067266652308
1232.89943777813,105,9.98064167800507,35.2491034220085,27.1418031448475,-0.00457220912601325,0.039584979636643,0.0234949458814434
1232.89943777813,115,9.91785418695609,35.2620690903009,27.1638750487356,-0.00325945196428591,0.0440926063279572,0.0251228460665283
1232.89943777813,125,9.84787457976718,35.2690329045958,27.1824513271762,-0.00232080491075909,0.0472979635257993,0.0264110486174402
1232.89943777813,135,9.81241865463545,35.2739175331249,27.1929775480496,-0.00156749714661747,0.0509780521920611,0.0278554933949147
1227.89943777813,15,11.1522441814696,34.7733260592625,26.5542416543214,-0.0716821970066651,-0.00242704723533879,-0.0399195641004434
1227.89943777813,25,10.9784835383304,34.857764695693,26.6517495360012,-0.0695926555020134,-0.00769683392620945,-0.0356697291994034
1227.89943777813,35,10.7888082148834,34.9266723414422,26.7389701071436,-0.0633079148931629,0.000212367958356739,-0.0288588668642373
1227.89943777813,45,10.5452451646207,35.000349367056,26.8415499402939,-0.0550967088426696,-0.0152055973886543,-0.0209752716070992
1227.89943777813,55,10.0881289025662,35.0374130239441,26.9546358047203,-0.0508352759057757,-0.0132102285026888,-0.0125838723711123
1227.89943777813,65,10.0028316831348,35.1031910031116,27.0216442378393,-0.04194536102331,-0.00909548333811469,-0.00388178968848813
1227.89943777813,75,9.95311738038674,35.1495677145952,27.0674367822434,-0.0339962484778561,-0.00197280327176251,0.00494318092907196
1227.89943777813,85,9.88630528209815,35.1875458116425,27.1097290392244,-0.0272288459611289,0.0101808983111254,0.0125506927182098
1227.89943777813,95,9.85546347866686,35.210940293195,27.134016657743,-0.0215280175427368,0.0250168939375689,0.0194102518488534
1227.89943777813,105,9.80719500150065,35.2265040924162,27.1556491535909,-0.0164101561745764,0.0552482221424589,0.0256965856014343
1227.89943777813,115,9.75549602625862,35.2436922964054,27.1788581299514,-0.0120910698782216,0.0708738201434635,0.0307505109680862
1227.89943777813,125,9.69457893028154,35.2543181536298,27.198623763065,-0.0083645479885542,0.0784277935543113,0.0346884170693458
1227.89943777813,135,9.66443971754955,35.2605002085622,27.2090970330753,-0.00494790509592665,0.0899506019848742,0.0380825766673361
1182.89943777813,15,11.7232480445115,34.9597694880325,26.5924537405432,0.0634300124624537,-0.100568107055892,-0.0409648293384196
1182.89943777813,25,11.4852797611622,35.0027667121823,26.6716150818388,0.0591317406546159,-0.0570724529094637,0.00212249621146003
1182.89943777813,35,11.1748685056569,35.0308355860844,26.7512429546301,0.0547797256362349,-0.0385587396663517,0.00181150886895416
1182.89943777813,45,10.9580046423818,35.0710810396008,26.8234043329818,0.0494881806974051,-0.0319998105943045,0.00223726156894991
1182.89943777813,55,10.6895354302613,35.1121101270576,26.9062212499081,0.0431919209664815,-0.0178590240714019,0.00212125527951371
1182.89943777813,65,10.5401245570333,35.1560120324243,26.9701426260516,0.0362326787422536,0.0127509113342455,-5.3308047555805e-05
1182.89943777813,75,10.3990723167979,35.1875022830383,27.0206372118734,0.0287369691338356,0.0351474323298851,-0.004501925223782
1182.89943777813,85,10.2906947902237,35.2093333621419,27.0570601075304,0.0207599608279231,0.0069237480508466,-0.0106663462247349
1182.89943777813,95,10.2136719661106,35.2311704295213,27.0884719455134,0.012597608329792,0.0163289002207736,-0.0177119009837952
1182.89943777813,105,10.1327653448929,35.2420371264253,27.1114072816948,0.00467918589994155,0.0173289814501176,-0.0249438906057886
1177.89943777813,15,11.8066274540406,34.9944344619065,26.6035427350213,0.0564643993031187,-0.0549350631996848,-0.0391394533016635
1177.89943777813,25,11.521877354385,35.045460276573,26.6975681841956,0.0488964342956007,-0.0256709217321223,0.0140075089499252
1177.89943777813,35,11.1947355596703,35.0721248448611,26.7795742636913,0.0449435863687041,-0.0105517117200849,0.013661931088653
1177.89943777813,45,10.9217530899936,35.1090240053554,26.8598020777796,0.0402545023884062,-0.0118780969661162,0.0139506276214596
1177.89943777813,55,10.6239664862622,35.1492549491327,26.9471963414987,0.0344728384630638,-0.00269849228334223,0.0138424790630663
1177.89943777813,65,10.4709569286742,35.1943598163393,27.0130204128353,0.0284870624104757,0.0218683706935898,0.0116702425085298
1177.89943777813,75,10.30640798918,35.2244170187748,27.0668133090616,0.0220935957491998,0.0343504238402596,0.00734194280652421
1177.89943777813,85,10.1774086616607,35.2430487976595,27.1041731169826,0.0156181952888437,-0.0342656657574801,0.00123761085034157
