CruiseID,Staname,Refdist,LonGV,LatGV,ZLoNM
d22396,1G+,1302.89943777813,NaN,NaN,NaN
d22396,2G+,1295.32049608051,NaN,NaN,NaN
d22396,3G+,1289.5190615426,NaN,NaN,NaN
d22396,4G+,1282.06093016324,NaN,NaN,NaN
d22396,5G+,1272.9178431668,NaN,NaN,NaN
d22396,6G+,1260.72706050488,NaN,NaN,NaN
d22396,7G+,1248.01816957983,NaN,NaN,NaN
d22396,8G+,1237.86934301379,NaN,NaN,NaN
d22396,9G+,1227.72051644774,NaN,NaN,NaN
d22396,10G+,1217.54121292504,NaN,NaN,NaN
d22396,11G+,1207.20679717937,NaN,NaN,NaN
d22396,12G+,1196.69115049774,NaN,NaN,NaN
d22396,13G+,1186.15265230501,NaN,NaN,115
d22396,14G+,1175.58696718581,NaN,NaN,115
d22396,T+,1164.60896896915,-8.42059998214245,56.8603999614716,115
d22396,15G+,1149.57371459129,-8.64280247688293,56.9184114336967,115
d22396,S+,1133.08441927928,-8.88910248875618,56.9767614603043,120
d22396,R+,1118.82460680132,-9.10439999401569,57.0272499918938,204.999999999999
d22396,Q+,1108.37380704328,NaN,NaN,285
d22396,Q1+,1101.72574213887,NaN,NaN,785
d22396,P+,1089.42707658295,-9.56634998321533,57.1317999362946,1270
d22396,O+,1068.9500750927,-9.88123598694801,57.18372797966,1255
d22396,N+,1046.77417036539,-10.2234859913588,57.2667279839516,1270
d22396,M+,1026.80500794072,-10.513749986887,57.3329499363899,1035
d22396,L+,1011.24644495635,-10.7586384862661,57.3775529265404,675
d22396,K+,997.949349218572,-10.9815884828568,57.4227529764175,565
d22396,J+,983.859226148175,-11.2075999826193,57.461699962616,645
d22396,I+,970.288862878406,-11.416349992156,57.4824999570847,1010
d22396,H+,954.295750175461,-11.6704499870539,57.4920499920845,1300
d22396,G+,932.842121461985,-12.0364999771118,57.5060999393463,1280
d22396,F+,909.356986908352,-12.4324499815702,57.5247998833656,1165
